"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Doctors First Choice Billings, Inc","FL","Business Associate","9255","06/11/2014","Theft","Other","Yes",""
"Doctors First Choice Billings, Inc.","FL","Business Associate","1831","06/12/2014","Hacking/IT Incident","Other","Yes","\N"
"Santa Rosa Memorial Hospital ","CA","Healthcare Provider","33702","06/13/2014","Loss, Theft","Other Portable Electronic Device","No","\N"
"Baylor Medical Center at Carrollton","TX","Healthcare Provider","2874","06/13/2014","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Group Health Plan of Hurley Medical Center","MI","Health Plan","2289","06/16/2014","Unauthorized Access/Disclosure","Email","No","\N"
"IHS","MD","Health Plan","620","06/19/2014","Unauthorized Access/Disclosure","Other","No","\N"
"David DiGiallorenzo, D.M.D.","PA","Healthcare Provider","11000","06/19/2014","Hacking/IT Incident, Unauthorized Access/Disclosure","Other","No","An individual hacked into the Dentrix software of the covered entity (CE), Lanap & Implant Center of Pennsylvania (David DiGiallorenzo), and posted patients’ protected health information (PHI) on a “BitTorrent” website (which distributes files over the Internet), piratebay.com.  The breach involved the PHI of 11,000 individuals and included names, as well as dates of birth and social security numbers for some of the individuals.  The CE provided breach notification to HHS, affected individuals whose PHI was compromised, and the media, as well as substitute notification.  Following the breach, the CE received security updates from Dentrix.  As a result of OCR’s investigation, the CE increased safeguards by implementing security measures on its electronic systems.  "
"NRAD Medical Associates, P.C.","NY","Healthcare Provider","97000","06/20/2014","Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device","No","\N"
"NYU Hospitals Center","NY","Healthcare Provider","872","06/20/2014","Theft","Laptop","No","\N"
"Abrham Tekola, M.D.,INC","CA","Healthcare Provider","5471","06/20/2014","Theft","Desktop Computer","No",""
"Colorado Neurodiagnostics, PLLC","CO","Healthcare Provider","750","06/23/2014","Theft","Laptop","No","\N"
"Sloane Stecker Physical Therapy, PC","NY","Healthcare Provider","2000","06/24/2014","Theft","Electronic Medical Record","No","\N"
"Riverside County Regional Medical Center","CA","Healthcare Provider","563","06/24/2014","Theft","Laptop","No","\N"
"Rady Children's Hospital - San Diego","CA","Healthcare Provider","14121","06/24/2014","Unauthorized Access/Disclosure","Email","No","\N"
"Rady Children's Hospital - San Diego","CA","Healthcare Provider","6307","06/25/2014","Unauthorized Access/Disclosure","Email, Other","No","\N"
"Alabama Department of Public Health","AL","Healthcare Provider","1200","06/26/2014","Theft","Electronic Medical Record","No","An employee of the covered entity (CE), Alabama Department of Public Health, disclosed the protected health information (PHI) of approximately 1,200 individuals to a third party, potentially for tax fraud purposes.  Federal law enforcement informed the CE of the breach on March 21, 2014.  The U.S. District Court, Middle District of Alabama indicted the workforce member responsible for the breach for her criminal activities related to the breach, and she is no longer employed by the CE.  Following the breach, the CE implemented additional safeguards.   "
"The Union Labor Life Insurance Company","MD","Healthcare Provider","42713","06/27/2014","Theft","Laptop","No",""
"VA Long Beach Healthcare System","CA","Healthcare Provider","592","07/04/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"D&J Optical Inc. ","AL","Health Plan","1100","07/07/2014","Hacking/IT Incident","Desktop Computer","No","In June 2014, the covered entity (CE), D&J Optical, suspected that a former independently contracted optometrist had created credentials for herself and accessed electronic protected health information (ePHI) without authorization.  This inappropriate access would have exposed the demographic and clinical information of 1,100 individuals.  The CE filed a breach report with HHS and met the requirements of the Breach Notification Rule.  In response to this suspected incident, the CE increased security for access to its server and software, eliminated wireless internet capabilities in its office, and strengthened procedures for password access.  OCR reviewed evidence of the subsequent investigation by a computer forensic expert which revealed that no inappropriate access had occurred and no ePHI was disclosed.   "
"Montana Department of Public Health & Human Services","MT","Health Plan","1062509","07/07/2014","Hacking/IT Incident","Network Server","No","\N"
"Highmark Inc.","PA","Business Associate","2589","07/08/2014","Theft","Paper/Films","Yes","Health profile and care summaries and corresponding cover letters were incorrectly mailed to senior members of the covered entity (CE), Highmark Health, and their physicians.  The protected health information involved in the breach included the names, addresses, telephone numbers, dates of birth, unique medical identifiers (UMI), gender, medications, and health information of 2,589 individuals. The CE provided breach notification to HHS, the media, and affected individuals.  Following the breach, the CE issued a new UMI to each member impacted by the incident.  The CE determined that a process failure by an employee was the root cause for the incorrect mailing and subsequently terminated the employee. As a result of OCR's investigation, the CE instituted new quality review procedures for mailings and retrained employees on its privacy practices and departmental policies, processes and procedures.  OCR obtained details of the CE's revised policies on its health profiles to assure they include only the minimum necessary information.  "
"Haley Chiropractic Clinic","WA","Healthcare Provider","6000","07/08/2014","Theft","Desktop Computer, Laptop","No","One laptop and two desktop computers containing the electronic protected health information (ePHI) of about 6,000 patients were stolen during a break-in at the covered entity (CE), Haley Chiropractic Clinic. The machines and the clinic’s electronic health record (EHR) application were password-protected, but the devices were not encrypted. One of the desktop computers provided access to the web-based EHR system that included names, treatment notes, addresses, phone numbers, dates of birth, insurance information, and social security numbers. The stolen laptop contained patients’ names, social security numbers, height and weight, and range of motion data.  The CE filed a police report, provided breach notification to HHS, affected individuals, and the media, and posted substitute notice on its website. Following the breach, the CE improved safeguards by installing a new physical security alarm and video surveillance system, changing all computer passwords, and encrypting computers.  OCR’s review found that the media notice did not comply with the content requirements of the Breach Notification Rule. Based on OCR’s technical assistance, the CE provided a compliant notice to regional media. "
"St. Vincent Hospital and Health Care Center, Inc.","IN","Business Associate","63325","07/09/2014","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"InSync Computer Solutions, Inc.","AL","Business Associate","50918","07/11/2014","Other","Network Server","Yes","\N"
"Western Regional Center for Brain and Spine Surgery","NV","Healthcare Provider","12000","07/12/2014","Theft","Network Server","No","\N"
"Indian Health Service -Rosebud","MD","Healthcare Provider","620","07/15/2014","Loss","Other","No","\N"
"University of Pennsylvania Health System","PA","Healthcare Provider","661","07/16/2014","Theft","Paper/Films","No","A bag containing a compact disk - read only memory (CD-ROM) was stolen from the vehicle of a physician associated with the covered entity (CE).  The CD-ROM involved in the breach contained names, dates of birth, social security numbers, medical histories, and the treatment information of approximately 2,046 individuals.  Following the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  The CE sanctioned and retrained the physician whose bag was stolen and implemented organization wide improvements to its compliance with the Privacy and Security Rules.  As a result of OCR's investigation the covered entity posted substitute notification of the breach in the local paper and confirmed that corrective actions steps were taken. \\\"
"Bay Area Pain Medical Associates ","CA","Healthcare Provider","2780","07/16/2014","Theft","Desktop Computer","No","The offices of the covered entity (CE), Bay Area Pain Management Associates, were broken into and three desktop computers were stolen.  One unencrypted document on a stolen computer contained the names, and dates of service of 2,780 individuals.  In response to the breach the CE improved physical safeguards by adding a security alarm system, and increasing security features on doors. The CE improved technical safeguards by implementing an encryption file management program.  As a result of OCR’s investigation the CE improved its HIPAA practices."
"Minneapolis VA Health Care System","MN","Health Plan","500","07/17/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Midwest Orthopaedic Center SC","IL","","680","07/23/2014","Unauthorized Access/Disclosure","Network Server","Yes","A former affiliate of the covered entity’s (CE) former business associate(BA), McKesson Corporation, that provided specialized billing services, unintentionally made records containing patient information potentially accessible on the Internet. The protected health information (PHI) of approximately 680 individuals was accessible using very specific Google search terms between December 1, 2013 and April 17, 2014.  The former BA immediately safeguarded the information and made it inaccessible on the Internet.   The former BA confirmed that the web server was properly removed from public Internet access, confirmed from its former affiliate that the data at issue was destroyed, contacted Google to ensure all caches pages were destroyed, and confirmed the information could not be accessed through any web search.  The former BA also confirmed with its former affiliate that no other information was available via the computer server at issue or any other server.  The CE confirmed that the former BA’s policies related to data security were in compliance with the CE’s data security requirements.  The CE provided breach notification to HHS, affected individuals, and the media, and offered credit monitoring to the affected individuals.  OCR obtained written assurances that the CE and BA implemented the corrective actions listed above."
"Xand Corporation","NY","Business Associate","3334","07/23/2014","Other","Network Server","Yes","\N"
"Self Regional Healthcare ","SC","Healthcare Provider","38906","07/25/2014","Theft","Laptop","No","On May 25, 2014, a password-protected, unencrypted laptop computer containing the protected health information (PHI) of 38,906 patients was stolen from the covered entity’s (CE) administrative offices during a break-in.  The PHI involved in the breach included patients’ names, social security numbers, driver license numbers, treating physician names, insurance policy numbers, patient account numbers, service dates, diagnosis/procedure information, payment card information, financial account information, and possibly addresses.  The CE provided breach notification to HHS, the media, and affected individuals, and offered credit monitoring.  The CE also contacted the local police department and conducted an internal investigation.  Following the breach the CE revised its HIPAA policies and procedures and retrained its entire workforce on its policies and procedures.  The CE also improved facility access safeguards and encrypted computers.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Urological Associates of Southern Arizona, P.C.","AZ","Healthcare Provider","3529","07/25/2014","Improper Disposal","Other","No","\N"
"Dr. Veronica Joann Barber","CA","Business Associate","4000","07/28/2014","Unauthorized Access/Disclosure","Network Server","Yes","Another provider, Veronica Joann Barber, O.D., (VB) copied the covered entity’s (CE) entire data base and used the electronic protected health information (ePHI) to solicit  patients for her own practice.  VB worked at the CE’s office under a space-sharing agreement until the CE terminated the agreement.   The CE requested that VB cease and desist using the PHI, but she did not agree.  The theft occurred on December 15, 2013, and affected 4,000 individuals. The ePHI involved in the breach included individuals’ names, social security numbers, addresses, driver’s licenses, dates of births, other identifiers, credit card and bank account numbers, claims information, other financial information, diagnoses and medical conditions, medications, and other treatment information.  The CE provided breach notification to HHS and affected individuals.  Following the breach the CE installed computer firewalls.  Based on OCR’s provision of technical assistance, the CE notified the media and completed a risk assessment.  It also improved safeguards by denying access by unlicensed persons to its computer systems and updating its policies and procedures regarding computer user names and passwords. The CE improved physical safeguards by moving the computer with the ePHI behind a 5-foot tall counter.  "
"PRN Medical Services, LLC dba Symbius Medical, LLC","AZ","Healthcare Provider","13877","07/29/2014","Other, Theft, Unauthorized Access/Disclosure","Email, Network Server","No","\N"
"Midwest Urological Group","IL","Healthcare Provider","982","07/30/2014","Theft","Laptop","No","On May 30, 2014, an unencrypted laptop computer was stolen from a company closet.  The laptop contained the protected health information (PHI) of approximately 982 individuals, including names and data from medical tests.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media and also notified police.  Following the breach, the CE sanctioned and retrained the employee responsible for securing the computer and implemented new policies and procedures to improve safeguards to PHI.  OCR obtained written assurances that the CE implemented the corrective actions listed above.   "
"Rite Aid Store 5256","WA","Healthcare Provider","522","07/30/2014","Theft","Paper/Films","No","A box containing paper prescription records was removed from the backroom at the covered entity’s (CE) Milton, WA location.  The box contained the protected health information (PHI) of approximately 522 individuals and included names, addresses, and dates of birth.  The CE provided breach notification to affected individuals, HHS, and the media.  The CE offered one year of free identity theft protection to affected individuals.  Following the breach, the CE improved physical safeguards by moving all remaining hard copy prescription records to a more secure area.  The CE contacted all other stores in the region to ensure that prescription records were being appropriately secured.  As a result of OCR’s investigation, the CE clarified its PHI storage policies to store managers in Washington State, and implemented new security procedures at the affected location.  OCR provided the CE with technical assistance regarding adequate safeguards to PHI, as well as what constitutes adequate notice to the media pursuant to the Breach Notification Rule."
"StayWell Health Management, LLC","MN","Business Associate","4487","07/31/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Cancer Specialists of Tidewater","VA","Healthcare Provider","2318","07/31/2014","Theft","Electronic Medical Record, Other","No","The covered entity (CE), Cancer Specialists of Tidewater, was notified by the Chesapeake Virginia Police Department that an employee was arrested and charged with taking credit card information from patients’ belongings during office visits.  The breach report indicated that over 500 individuals were affected and the types of protected health information (PHI) involved in the breach included demographic and financial information.  Following the CE’s investigation and electronic audit, it provided breach notification to a total of 2,318 patients, HHS, and the media, and posted substitute notice on its website.  Following the breach, the CE conducted a risk assessment, upgraded breach detection software, and increased its auditing capabilities.  It also conducted employee training.  OCR obtained written assurance that the CE implemented the corrective actions listed above.  Additionally, the CE terminated the employment of the involved employee.







"
"MobilexUSA","OH","Healthcare Provider","605","08/06/2014","Loss","Paper/Films","No","\N"
"Jersey City Medical Center - Barnabas Health","NJ","Healthcare Provider","36400","08/07/2014","Loss","Other","No","\N"
"Diamond Computing Company","GA","Business Associate","7016","08/07/2014","Unauthorized Access/Disclosure","Network Server","Yes","OCR notified the covered entity, Diatherix, that electronic protected health information (ePHI) of its patients was potentially accessible online.  The CE conducted an internal investigation and determined that its business associate (BA), Diamond Computing Company, Inc., was maintaining an insecure file transfer protocol (FTP) site containing the ePHI of approximately 7,016 individuals.  The ePHI involved in the breach included names, social security numbers, dates of birth, addresses, diagnoses, and billing information, as well as other data.  In response to this incident, the CE engaged a data forensic firm to determine the scope and cause of the breach.  The CE provided breach notification to HHS, the media, and affected individuals, and offered one year of identity theft protection.  In addition, the CE performed a risk assessment, took steps to remove cached copies of ePHI from the Internet, and revised its existing policies to ensure its vendors enforce appropriate security measures to protect ePHI.  As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed."
"Central Utah Clinic","UT","Healthcare Provider","31677","08/07/2014","Hacking/IT Incident","Network Server","No","\N"
"PST Services Inc, a McKesson Co.","GA","Business Associate","10104","08/08/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Onsite Health Diagnostics (OHD)","TX","Business Associate","60582","08/08/2014","Hacking/IT Incident","Network Server","Yes","\N"
"Apple Valley Care Center","CA","Healthcare Provider","1251","08/12/2014","Hacking/IT Incident","Network Server","No","\N"
"Kaiser Foundation Health Plan of Colorado","CO","Health Plan","11551","08/12/2014","Other, Unauthorized Access/Disclosure","Other","No","The covered entity (CE), Kaiser Foundation Health Plan of Colorado, reported that on July 24, 2014, it erroneously mailed letters containing protected health information (PHI) to incorrect recipients, affecting 11,551 individuals. Each letter contained the name of another program member in a chronic condition management program.  The CE provided breach notification to HHS, affected individuals, and the media.  As a result of OCR's investigation, the CE sanctioned and retrained the responsible employee.  "
"CareAll Management, LLC","TN","Healthcare Provider","28300","08/12/2014","Improper Disposal","Other","No","\N"
"Iron Mountain Records Management","CA","Business Associate","1674","08/13/2014","Improper Disposal, Loss, Theft","Other","Yes","\N"
"24 ON Physicians, PC/In Compass Health,Inc.","GA","Business Associate","520","08/14/2014","Hacking/IT Incident, Other","Network Server","Yes","On December 1, 2013, a subcontractor of 20 ON Physicians PC/ In Compass Health Inc., Williamson Medical Center’s former business associate (BA), unintentionally made a computer server containing protected health information (PHI) potentially available for access on the internet.  The PHI that was potentially available on the internet included the names, dates of service, charge amounts, and billing codes of 520 patients.  The CE investigated and verified that its BA and its subcontractor had taken all necessary corrective steps to mitigate the breach.  Specifically, the subject server was removed from public internet access, all data provided to the subcontractor was destroyed, and all cached pages were removed.  Additionally, the CE worked with the BA to provide breach notification to HHS, affected individuals, and the media, and also posted substitute notice on its website.  Additionally, the CE reviewed and confirmed that all of its BA agreements contain provisions addressing subcontractors and data security and conducted an in-depth review of its risk analysis.  A separate breach investigation was opened for the BA, 20 ON Physicians PC/In Compass Health Inc.  OCR reviewed the BA agreement and Breach Notification Rule policy and determined that they were sufficient."
"Iron Mountain Incorporated","MA","Business Associate","10000","08/15/2014","Loss, Theft","Paper/Films","Yes","\N"
"Iron Mountain","CA","Business Associate","49714","08/15/2014","Improper Disposal, Loss, Theft","Paper/Films","Yes","\N"
"Children's Mercy Hospital","MO","","4067","08/15/2014","Hacking/IT Incident","Network Server","Yes","The covered entity (CE), Children's Mercy Hospital, reported that the protected health information (PHI) of 4,067 individuals stored in an online registration system by the subcontractor, Onsite Health Diagnostics, of its business associate (BA), StayWell Health Management, was hacked.  The hacked information included names, encrypted passwords, email addresses, physical addresses, phone numbers, genders, and dates of birth.  Because the subcontractor-generated passwords were encrypted/hashed, they were rendered unusable.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE reported that the subcontractor moved all data from the affected scheduling application, moved all of its clients to a new scheduling platform, and completely decommissioned the vulnerable platform.  The subcontractor also conducted a comprehensive security audit and found no other improper uses of protected health information or vulnerabilities.  As a result of OCR's investigation, the CE provided documentation substantiating all actions taken.  "
"University Health","LA","Healthcare Provider","6073","08/15/2014","Hacking/IT Incident","Network Server","No","\N"
"Tri-City Medical Center","CA","Healthcare Provider","500","08/18/2014","Theft","Paper/Films","No","On August 7, 2014, an employee who was being terminated for cause took emergency department (ED) logs for 500 patients of the covered entity (CE), Tri-City Medical Center, and gave them to the California Department of Public Health (DPH) and the North County Newspaper.  Upon learning of the theft, the CE contacted DPH which advised that it had the logs and would give them to the local police department once the CE filed a report for theft. The CE contacted the local police department and created a report of the 500 patients’ electronic protected health information (ePHI).  The CE provided breach notification to HHS, affected individuals, and the media and created an 800-number to provide information for affected patients.  The CE improved safeguards by reformatting the ED logs required for Emergency Medical Treatment and Labor Act (EMTALA) to be handled only electronically, placing all ED paper logs in a locked/secured cabinet, converted locks, and relocated all its printers and faxes to secure areas.  The CE also retrieved the ED logs from the police department, retrained its entire workforce, and developed a facility policy for tracking the check-in and check-out of facility logs.  OCR obtained written assurances that the CE implemented the corrective actions listed."
"Dennis Flynn MD","IL","Healthcare Provider","13646","08/19/2014","Theft","Laptop","No","\N"
"Community Health Systems Professional Services Corporation","TN","Business Associate","4500000","08/20/2014","Theft","Network Server","Yes",""
"Oklahoma City Indian Clinic","OK","Healthcare Provider","6000","08/22/2014","Unauthorized Access/Disclosure","Email","No","A staff member of the covered entity (CE), Oklahoma City Indian Clinic, sent an email to 412 recipients that erroneously included an attachment that contained the electronic protected health information (ePHI) of 6,044 individuals.  Following an attempted recall of the message, a corrected email without the attachment was sent, asking the recipients to delete the erroneous email and the attachment.  The ePHI involved in the breach included patients’ names, chart numbers, and email addresses.  The CE provided breach notification to HHS, affected individuals, and the media, and provided substitute notice.  Following the breach, the CE re-trained staff on its encryption policy.  In addition, the CE improved safeguards by developing a policy regarding electronic transmission of patient information.  The policy limits identifying patient information contained in electronic communications within the CE’s network, and requires password protection for electronic files including ePHI. As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed."
"Steven A. Goldman, MD Inc.","OH","Healthcare Provider","6141","08/22/2014","Theft","Network Server","No","\N"
"Specialty Clinics Of Georgia - Orthopaedics","GA","Healthcare Provider","2350","08/25/2014","Theft","Paper/Films","No",""
"St. Elizabeth's Medical Center","MA","Healthcare Provider","595","08/26/2014","Theft","Laptop, Other Portable Electronic Device","No","\N"
"Aventura Hospital and Medical Center","FL","Healthcare Provider","948","08/26/2014","Theft","Desktop Computer","No",""
"Midwest Womens Healthcare Specialist","MO","Healthcare Provider","1376","08/26/2014","Improper Disposal","Paper/Films","No","\N"
"Group Health Incorporated","NY","Health Plan","802","08/27/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"The Longstreet Clinic, P. C.","GA","Healthcare Provider","720","08/28/2014","Improper Disposal","Other","No","\N"
"Metropolitan Government of Nashville and Davidson County (Metro) Public Health Department","TN","Health Plan","1717","08/29/2014","Other","Other","No","The covered entity (CE), Metropolitan Government of Nashville and Davidson County Public Health Department, reported that on July 18, 2014, during the relocation of the Children's Special Services Clinic, two small metal filing units, holding standard sized paper index cards on patients seen in the CSS clinic, were inadvertently tipped over and the index cards fell out of the filing units.  The index cards contained full names, addresses, dates of birth, social security numbers, and diagnosis codes of 1,717 patients.  The CE provided breach notification to HHS, affected individuals, and the media, placed a conspicuous notice on its website, and offered credit monitoring and identity theft protection to all affected individuals.  In response to the incident, the CE investigated, interviewed all relevant staff and the contractor’s employees, and reviewed surveillance recordings.  As a result of its investigation, the CE eliminated the index card system, re-evaluated its process on retention and use of paper records, created and implemented additional HIPAA policies and procedures, and retrained staff.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Duke University Health System","NC","Healthcare Provider","10993","08/29/2014","Theft","Other Portable Electronic Device","No","\N"
"Memorial Hermann Health System","TX","Healthcare Provider","10604","08/29/2014","Unauthorized Access/Disclosure","Desktop Computer","No","On July 7, 2014, Memorial Hermann Health System's audit program identified that a workforce member had inappropriately accessed the protected health information (PHI) of approximately 10,600 individuals.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  It also promptly terminated the involved workforce member.  OCR reviewed copies of the CE's policies and procedures related to the incident and information related to its HIPAA training program and audit protocols in place at the time of the incident.  Following the incident, the CE took corrective actions including expanding its IT audit program and hiring additional audit staff.   
"
"AltaMed Health Services Corporation","CA","Healthcare Provider","3206","08/29/2014","Theft","Desktop Computer, Network Server, Paper/Films","No","\N"
"Bulloch Pediatric Group, LLC","GA","Healthcare Provider","10000","09/04/2014","Unauthorized Access/Disclosure","Paper/Films","No","The covered entity (CE), Bullock Pediatric Group, LLC, rented two locked storage units from a facility that was burglarized for its metal shelves.  Boxes containing the protected health information (PHI) of approximately 10,000 individuals were strewn about on the floor along with the documents in the boxes.  The documents contained demographic, financial, and clinical information, including Explanation of Benefits (EOB) forms from insurance companies, cleared checks, credit card information, balance sheets, end of day reports, some social security numbers, and possibly names and addresses.  The CE provided breach notification to HHS, affected individuals, and the media, and posted notification on its website.  It also offered one year of free credit monitoring.  Following the breach, the CE moved its documents to another storage facility with improved safeguards.  In addition, the CE destroyed documents pursuant to the state medical record retention laws.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Emdeon","TN","Business Associate","566","09/04/2014","Theft","Paper/Films","Yes",""
"Temple University Physicians","PA","Healthcare Provider","3780","09/05/2014","Theft","Desktop Computer","No","\N"
"The WellPoint Affiliated Covered Entities  ","IN","Health Plan","1464","09/08/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Thomas Cristello, Chiropractor PC","NY","Healthcare Provider","914","09/09/2014","Loss","Other Portable Electronic Device","No","\N"
"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat) ","TX","Healthcare Provider","789","09/09/2014","Loss, Theft","Laptop, Other Portable Electronic Device","No","As the result of a burglary, a computer, two laptops, and a camera were stolen from the covered entity (CE), ENT Partners of Texas. These systems contained the electronic protected health information (ePHI) of 659 individuals.  The PHI involved in the breach, included variously, names, audiology tests, dates of birth, CT scans, and clinical photographs of skin. The laptops and computer were password protected.  The CE notified law enforcement as soon as the break-in was discovered. Breach notification was provided to HHS, affected individuals, and the media, and substitute notice was posted on the CE’s website and at the CE’s office.  Following the breach, the CE changed the access passwords for ePHI, and the CE’s information technology (IT) provider initiated monitoring to detect whether the stolen the laptops are connected to the Internet, so that the IT provider may attempt to remotely erase the breached ePHI.  Since the break-in, the CE improved physical security.  The CE improved technical safeguards by installing remote wiping software on all laptops and phones and moving patient data software to a password protected and encrypted server.  In addition, the CE updated its policies and procedure to prohibit public access on the CE’s wireless network and empty the contents of cameras daily.  Following OCR’s investigation, the CE implemented a process for tracking security incidents and updating electronic systems."
"Bon Secours Kentucky","KY","Healthcare Provider","697","09/09/2014","Unauthorized Access/Disclosure","Other","No","The covered entity (CE), Bon Secours Kentucky, discovered suspicious activity on its billing software from the user account of a former employee. The CE found it had not properly deactivated access, putting at risk the demographic and clinical information of 697 individuals. The CE provided breach notification to HHS, affected individuals, and posted substitute notice on its website. Media notice was not performed because the number of affected individuals in each state was less than 500.  In response to the breach, the CE revised its access monitoring policy and centralized its access allowance procedures.  OCR obtained assurances that the CE implemented the corrective actions listed above.  "
"Valesco Ventures","FL","Business Associate","82601","09/09/2014","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","Yes","\N"
"Wm. Jennings Bryan Dorn VA Medical Center","SC","Healthcare Provider","3637","09/10/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Kmart Corporation","IL","Healthcare Provider","1866","09/10/2014","Unauthorized Access/Disclosure","Paper/Films","No","Printed pharmacy reports containing protected health information (PHI) about patients’ prescriptions was disclosed to an acquaintance of a former pharmacy employee in Sebring, Florida.  The PHI involved in the breach included the names, addresses, prescribers, and medications for approximately 1,866 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE also contacted law enforcement and reinforced with the pharmacy staff the CE’s HIPAA policies and procedures pertaining to the appropriate use, disclosure, and the safeguarding of PHI.   OCR obtained written assurances that the CE implemented the corrective actions listed above.
"
"Xerox State Healthcare, LLC","TX","Business Associate","2000000","09/10/2014","Unauthorized Access/Disclosure","Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device","Yes","\N"
"Cedars-Sinai Health System","CA","Healthcare Provider","33136","09/10/2014","Theft","Laptop","No","The covered entity (CE), Cedars-Sinai Health System, reported that an employee’s unencrypted laptop computer was stolen during a residential burglary.  Although the computer was used primarily for troubleshooting pathology software, some electronic protected health information (ePHI) of approximately 33,136 individuals was potentially stored in temporary files on the laptop’s hard drive.   The CE terminated the laptop’s remote access capabilities and conducted an internal investigation.  Although the CE’s laptops are encrypted as per its policy, the encryption for this laptop was disabled by a helpdesk service provider when providing assistance.  The CE provided breach notification to HHS, affected individuals, and the media, and posted notice of the incident on its website.  The CE has not learned of any identity theft or other misuse of the potentially affected information resulting from this incident.  Following OCR’s investigation, the CE updated its policies and procedures related to the storage, transmission and encryption of ePHI, as well as the enforcement of its employees’ adherence to these policies and procedures.  "
"Tampa General Hospital","FL","Healthcare Provider","675","09/12/2014","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Santa Fe Medical Group","NM","Healthcare Provider","843","09/12/2014","Theft","Other Portable Electronic Device","No",""
"Emdeon","TN","Business Associate","800","09/12/2014","Theft","Paper/Films","Yes",""
"South Suburban HIV/AIDS Regional Clinics","IL","Business Associate","767","09/17/2014","Other","Email","Yes","\N"
"New Mexico VA Health Care System","NM","Healthcare Provider","2657","09/18/2014","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Research Integrity, LLC","KY","Business Associate","4077","09/22/2014","Unauthorized Access/Disclosure","Other Portable Electronic Device","Yes","\N"
"Madison Street Provider Network","CO","Healthcare Provider","523","09/26/2014","Theft","Laptop","No","\N"
"Compassionate Care Hospice of Central Louisiana, LLC","LA","Healthcare Provider","707","09/26/2014","Theft","Laptop, Other","No","Ten encrypted laptop computers and one external hard drive containing the electronic protected health information (ePHI) of approximately 707 individuals were stolen from the covered entity (CE), Compassionate Care Hospice of Central Louisiana.  The laptops contained two reports. The first report listed the names, ages, admitting and discharge dates, location, medication class and other items related to 120 patients. The second report contained the names of 97 patients. The hard drive contained one file, a bereavement report listing the names, addresses, phone numbers and date of death of deceased patients. The CE provided breach notification to HHS, affected individuals and the media. Following the breach, the CE remotely wiped the stolen laptops. Additionally, it inventoried and assessed devices and equipment containing ePHI and brought them into compliance with the CE’s policies, including encryption requirements. OCR obtained a copy of the CE's current risk analysis and risk management plan with evidence of implementation for security measures, including evidence of security measures to reduce the risk of computer theft.

"
"American Family Care, Inc.","AL","Healthcare Provider","2588","09/30/2014","Theft","Laptop","No","On July 17, 2014, two password-protected, unencrypted laptop computers belonging to the covered entity (CE), American Family Care, were stolen from an employee’s vehicle while he was on business travel.  The laptops contained the electronic protected health information (ePHI) of 2,500 individuals, and included different types of data for different individuals, such as patients’ names, dates of visits, patient identification numbers, social security numbers, dates of birth, and specific health information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE contacted the local police department and conducted an internal investigation.  The CE also revised its HIPAA policies and procedures, retrained its workforce, and encrypted all of its laptops."
"U.S. Health Holdings, Ltd. o/b/o Macomb County, Michigan","MI","Health Plan","6302","10/01/2014","Unauthorized Access/Disclosure","Other","No","\N"
"Mount Sinai Beth Israel","NY","Healthcare Provider","10793","10/03/2014","Theft","Laptop","No","\N"
"Touchstone Medical Imaging, LLC","TN","Healthcare Provider","307528","10/03/2014","Unauthorized Access/Disclosure","Network Server","No","\N"
